,0,1,2,3,4,5,6,7,8,9,10
0,0.0,0.2,0.4,0.6,0.8,1.0,0.8,0.6,0.4,0.2,0.0
1,0.0,0.1989,0.3956,0.5834,0.7381,0.7691,0.7381,0.5834,0.3956,0.1989,0.0
2,0.0,0.1936,0.3789,0.5397,0.6461,0.6921,0.6461,0.5397,0.3789,0.1936,0.0
3,0.0,0.1826,0.3515,0.4902,0.5843,0.6152,0.5843,0.4902,0.3515,0.1826,0.0
4,0.0,0.1683,0.3218,0.4461,0.5267,0.5555,0.5267,0.4461,0.3218,0.1683,0.0
5,0.0,0.1538,0.2932,0.4047,0.477,0.5019,0.477,0.4047,0.2932,0.1538,0.0
6,0.0,0.1399,0.2664,0.3672,0.4321,0.4546,0.4321,0.3672,0.2664,0.1399,0.0
7,0.0,0.127,0.2418,0.333,0.3916,0.4119,0.3916,0.333,0.2418,0.127,0.0
8,0.0,0.1153,0.2193,0.3019,0.355,0.3733,0.355,0.3019,0.2193,0.1153,0.0
9,0.0,0.1045,0.1989,0.2738,0.3219,0.3385,0.3219,0.2738,0.1989,0.1045,0.0
10,0.0,0.0948,0.1803,0.2482,0.2918,0.3069,0.2918,0.2482,0.1803,0.0948,0.0
11,0.0,0.086,0.1635,0.2251,0.2646,0.2782,0.2646,0.2251,0.1635,0.086,0.0
12,0.0,0.0779,0.1483,0.2041,0.2399,0.2522,0.2399,0.2041,0.1483,0.0779,0.0
13,0.0,0.0707,0.1344,0.185,0.2175,0.2287,0.2175,0.185,0.1344,0.0707,0.0
14,0.0,0.0641,0.1219,0.1678,0.1972,0.2074,0.1972,0.1678,0.1219,0.0641,0.0
15,0.0,0.0581,0.1105,0.1521,0.1788,0.188,0.1788,0.1521,0.1105,0.0581,0.0
16,0.0,0.0527,0.1002,0.1379,0.1621,0.1705,0.1621,0.1379,0.1002,0.0527,0.0
17,0.0,0.0478,0.0908,0.125,0.147,0.1546,0.147,0.125,0.0908,0.0478,0.0
18,0.0,0.0433,0.0824,0.1134,0.1333,0.1401,0.1333,0.1134,0.0824,0.0433,0.0
19,0.0,0.0393,0.0747,0.1028,0.1208,0.1271,0.1208,0.1028,0.0747,0.0393,0.0
20,0.0,0.0356,0.0677,0.0932,0.1096,0.1152,0.1096,0.0932,0.0677,0.0356,0.0
